call_id,opened_at,month,call_direction,call_reason,call_type,linked_incident,company,opened_by
CALL0380312,2024-08-01 12:13:41,2024-08,Outbound to user,Other,Incident,INC23758320,AXA FRANCE ADMIN,Agent_128
CALL0380325,2024-08-01 13:11:47,2024-08,Outbound to Support group,Information,Incident,INC23829536,AXA FRANCE CLUB 14,Agent_033
CALL0380329,2024-08-01 13:14:57,2024-08,Inbound from User,Follow-up,Incident,INC23665843,AXA FRANCE ADMIN,Agent_075
CALL0380331,2024-08-01 13:28:14,2024-08,Outbound to Other,Follow-up,Incident,INC23530341,AXA BANQUE,Agent_084
CALL0380334,2024-08-01 13:43:59,2024-08,Inbound from User,Information,Incident,INC23726724,AXA FRANCE ADMIN,Agent_002
CALL0380335,2024-08-01 13:44:54,2024-08,Inbound from User,Follow-up,Incident,INC23835615,AXA BANQUE,Agent_129
CALL0380339,2024-08-01 13:59:41,2024-08,Inbound from User,Information,Incident,INC23725523,SOGAREP,Agent_002
CALL0380348,2024-08-01 14:08:01,2024-08,Inbound from User,Update,Incident,INC23829411,AXA FRANCE AEP,Agent_033
CALL0380349,2024-08-01 14:08:50,2024-08,Outbound to user,Information,Incident,INC23819777,AXA BANQUE,Agent_104
CALL0380352,2024-08-01 14:11:57,2024-08,Outbound to user,Update,Incident,INC23818595,AXA FRANCE ADMIN,Agent_104
CALL0380357,2024-08-01 14:14:46,2024-08,Outbound to user,Update,Incident,INC23690225,SOGAREP,Agent_104
CALL0380364,2024-08-01 14:20:34,2024-08,Outbound to user,Update,Incident,INC23826937,AXA FRANCE ADMIN,Agent_115
CALL0380367,2024-08-01 14:25:01,2024-08,Outbound to user,Update,Incident,INC23827221,AXA FRANCE ADMIN,Agent_115
CALL0380382,2024-08-01 14:36:57,2024-08,Outbound to user,Update,Incident,INC23818547,AXA FRANCE ADMIN,Agent_115
CALL0380383,2024-08-01 14:37:05,2024-08,Inbound from User,Follow-up,Incident,INC23835023,AXA FRANCE ADMIN,Agent_129
CALL0380385,2024-08-01 14:38:14,2024-08,Outbound to Support group,Update,Incident,INC23837230,AXA FRANCE ADMIN,Agent_104
CALL0380388,2024-08-01 14:42:47,2024-08,Outbound to user,Update,Incident,INC21192493,AXA FRANCE ADMIN,Agent_115
CALL0380393,2024-08-01 14:45:51,2024-08,Inbound from User,Information,Incident,INC23837113,AXA FRANCE ADMIN,Agent_033
CALL0380396,2024-08-01 14:48:05,2024-08,Inbound from User,Information,Incident,INC23837260,AXA FRANCE ADMIN,Agent_002
CALL0380407,2024-08-01 14:57:57,2024-08,Outbound to user,Update,Incident,INC22865821,AXA FRANCE ADMIN,Agent_115
CALL0380416,2024-08-01 15:08:53,2024-08,Outbound to user,Update,Incident,INC23347189,AXA FRANCE ADMIN,Agent_115
CALL0380419,2024-08-01 15:13:54,2024-08,Outbound to user,Update,Incident,INC23353375,AXA FRANCE ADMIN,Agent_115
CALL0380426,2024-08-01 15:19:22,2024-08,Outbound to Other,Follow-up,Incident,INC23835207,AXA FRANCE ADMIN,Agent_140
CALL0380431,2024-08-01 15:24:34,2024-08,Outbound to user,Update,Incident,INC23624899,SIGMAGE,Agent_004
CALL0380435,2024-08-01 15:28:04,2024-08,Outbound to user,Update,Incident,INC23150737,AXA ASSURCREDIT,Agent_004
CALL0380436,2024-08-01 15:29:08,2024-08,Outbound to user,Update,Incident,INC23364276,AXA FRANCE ADMIN,Agent_115
CALL0380439,2024-08-01 15:30:22,2024-08,Outbound to user,Update,Incident,INC23606947,AXA FRANCE ADMIN,Agent_004
CALL0380442,2024-08-01 15:32:46,2024-08,Outbound to user,Update,Incident,INC23360378,AXA FRANCE ADMIN,Agent_141
CALL0380446,2024-08-01 15:35:30,2024-08,Outbound to Other,Follow-up,Incident,INC23829536,AXA FRANCE CLUB 14,Agent_083
CALL0380447,2024-08-01 15:36:50,2024-08,Outbound to Support group,Update,Incident,INC23639679,AXA FRANCE ADMIN,Agent_004
CALL0380448,2024-08-01 15:37:53,2024-08,Outbound to user,Update,Incident,INC23693689,AXA FRANCE ADMIN,Agent_004
CALL0380449,2024-08-01 15:38:48,2024-08,Outbound to user,Update,Incident,INC23693689,AXA FRANCE ADMIN,Agent_004
CALL0380451,2024-08-01 15:39:23,2024-08,Outbound to user,Update,Incident,INC23382553,AXA FRANCE ADMIN,Agent_115
CALL0380452,2024-08-01 15:40:18,2024-08,Outbound to Support group,Update,Incident,INC23837828,AXA FRANCE ADMIN,Agent_104
CALL0380456,2024-08-01 15:43:21,2024-08,Outbound to user,Update,Incident,INC23388462,AXA FRANCE ADMIN,Agent_115
CALL0380458,2024-08-01 15:45:09,2024-08,Outbound to Other,Follow-up,Incident,INC23828979,AXA FRANCE ADMIN,Agent_083
CALL0380459,2024-08-01 15:45:48,2024-08,Outbound to Support group,Other,Incident,INC23624899,SIGMAGE,Agent_114
CALL0380461,2024-08-01 15:46:31,2024-08,Inbound from User,Update,Incident,INC23828494,JURIDICA,Agent_104
CALL0380462,2024-08-01 15:48:47,2024-08,Outbound to Other,Follow-up,Incident,INC23834081,AXA FRANCE ADMIN,Agent_023
CALL0380464,2024-08-01 15:50:54,2024-08,Outbound to user,Update,Incident,INC23415782,AXA FRANCE ADMIN,Agent_115
CALL0380471,2024-08-01 16:11:38,2024-08,Outbound to user,Update,Incident,INC23437582,AXA FRANCE ADMIN,Agent_115
CALL0380473,2024-08-01 16:16:27,2024-08,Outbound to user,Update,Incident,INC23828494,JURIDICA,Agent_004
CALL0380474,2024-08-01 16:16:44,2024-08,Outbound to user,Update,Incident,INC23828494,JURIDICA,Agent_004
CALL0380477,2024-08-01 16:18:26,2024-08,Outbound to user,Update,Incident,INC23440139,AXA FRANCE ADMIN,Agent_115
CALL0380481,2024-08-01 16:21:07,2024-08,Outbound to user,Update,Incident,INC23698177,AXA FRANCE AEP,Agent_004
CALL0380482,2024-08-01 16:23:01,2024-08,Outbound to user,Update,Incident,INC23699835,AXA FRANCE AEP,Agent_004
CALL0380484,2024-08-01 16:24:45,2024-08,Outbound to user,Update,Incident,INC23448261,AXA FRANCE ADMIN,Agent_115
CALL0380490,2024-08-01 16:26:39,2024-08,Outbound to user,Update,Incident,INC23725137,AXA BANQUE,Agent_004
CALL0380492,2024-08-01 16:27:58,2024-08,Outbound to user,Update,Incident,INC23451137,AXA FRANCE ADMIN,Agent_115
CALL0380495,2024-08-01 16:28:22,2024-08,Outbound to user,Update,Incident,INC23725857,AXA FRANCE ADMIN,Agent_004
CALL0380498,2024-08-01 16:29:45,2024-08,Outbound to user,Update,Incident,INC23452528,AXA FRANCE ADMIN,Agent_115
CALL0380499,2024-08-01 16:31:49,2024-08,Outbound to user,Update,Incident,INC23730823,AXA FRANCE ADMIN,Agent_004
CALL0380502,2024-08-01 16:34:09,2024-08,Outbound to user,Update,Incident,INC23470668,AXA FRANCE ADMIN,Agent_115
CALL0380504,2024-08-01 16:35:10,2024-08,Outbound to user,Update,Incident,INC23753332,AXA FRANCE ADMIN,Agent_004
CALL0380506,2024-08-01 16:37:32,2024-08,Outbound to user,Update,Incident,INC23472990,AXA FRANCE ADMIN,Agent_115
CALL0380507,2024-08-01 16:38:40,2024-08,Outbound to user,Update,Incident,INC23776103,JURIDICA,Agent_004
CALL0380510,2024-08-01 16:41:40,2024-08,Outbound to user,Update,Incident,INC23482682,AXA FRANCE ADMIN,Agent_115
CALL0380512,2024-08-01 16:43:05,2024-08,Inbound from User,Information,Incident,INC23828805,AXA FRANCE ADMIN,Agent_002
CALL0380514,2024-08-01 16:45:07,2024-08,Outbound to user,Update,Incident,INC23763975,AXA FRANCE ADMIN,Agent_115
CALL0380516,2024-08-01 16:46:47,2024-08,Outbound to user,Update,Incident,INC23758070,AXA FRANCE ADMIN,Agent_004
CALL0380522,2024-08-01 16:49:01,2024-08,Outbound to user,Update,Incident,INC23762480,AXA FRANCE AEP,Agent_115
CALL0380524,2024-08-01 16:49:56,2024-08,Outbound to Other,Follow-up,Incident,INC23833887,AXA FRANCE ADMIN,Agent_023
CALL0380527,2024-08-01 16:52:05,2024-08,Outbound to Other,Follow-up,Incident,INC23778465,AXA FRANCE ADMIN,Agent_032
CALL0380529,2024-08-01 16:52:44,2024-08,Outbound to user,Update,Incident,INC23763600,AXA FRANCE ADMIN,Agent_004
CALL0380534,2024-08-01 16:55:18,2024-08,Outbound to user,Update,Incident,INC23795152,AXA FRANCE ADMIN,Agent_004
CALL0380533,2024-08-01 16:55:18,2024-08,Outbound to Other,Follow-up,Incident,INC23835423,AXA FRANCE ADMIN,Agent_032
CALL0380541,2024-08-01 17:09:53,2024-08,Outbound to Other,Follow-up,Incident,INC23793658,UGIPS,Agent_097
CALL0380558,2024-08-01 17:46:06,2024-08,Outbound to Support group,Information,Incident,INC23838787,AXA FRANCE AEP,Agent_033
CALL0380569,2024-08-01 18:05:53,2024-08,Outbound to user,Update,Incident,INC23838907,AXA FRANCE ADMIN,Agent_141
CALL0380573,2024-08-01 18:33:51,2024-08,Inbound from User,Information,Incident,INC23666167,AXA FRANCE ADMIN,Agent_033
CALL0380582,2024-08-02 08:52:35,2024-08,Outbound to user,Update,Incident,INC23811594,AXA FRANCE ADMIN,Agent_115
CALL0380583,2024-08-02 08:54:59,2024-08,Inbound from User,Follow-up,Incident,INC23792910,PREFIKAR,Agent_113
CALL0380587,2024-08-02 09:05:19,2024-08,Outbound to user,Update,Incident,INC23828558,AXA Services MOROCCO,Agent_115
CALL0380593,2024-08-02 09:10:17,2024-08,Outbound to user,Update,Incident,INC23835950,AXA FRANCE ADMIN,Agent_115
CALL0380597,2024-08-02 09:16:17,2024-08,Outbound to user,Follow-up,Incident,INC23842160,AXA FRANCE ADMIN,Agent_157
CALL0380598,2024-08-02 09:16:51,2024-08,Outbound to user,Update,Incident,INC23811837,AXA FRANCE ADMIN,Agent_141
CALL0380603,2024-08-02 09:20:22,2024-08,Outbound to Other,Follow-up,Incident,INC23842230,AXA FRANCE ADMIN,Agent_083
CALL0380612,2024-08-02 09:30:56,2024-08,Outbound to user,Follow-up,Incident,INC23821162,AXA FRANCE ADMIN,Agent_065
CALL0380615,2024-08-02 09:33:46,2024-08,Outbound to user,Follow-up,Incident,INC23838517,AXA ATOUT CŒUR,Agent_044
CALL0380618,2024-08-02 09:34:45,2024-08,Outbound to user,Follow-up,Incident,INC23838303,AXA ATOUT CŒUR,Agent_044
CALL0380624,2024-08-02 09:45:01,2024-08,Outbound to user,Follow-up,Incident,INC23819727,AXA FRANCE ADMIN,Agent_044
CALL0380629,2024-08-02 09:51:35,2024-08,Outbound to Support group,Update,Incident,INC23842974,AXA FRANCE ADMIN,Agent_104
CALL0380633,2024-08-02 09:59:40,2024-08,Inbound from User,Information,Incident,INC23811594,AXA FRANCE ADMIN,Agent_150
CALL0380654,2024-08-02 10:24:22,2024-08,Outbound to user,Information,Incident,INC23834557,AXA FRANCE ADMIN,Agent_104
CALL0380655,2024-08-02 10:26:43,2024-08,Outbound to user,Information,Incident,INC23819777,AXA BANQUE,Agent_104
CALL0380669,2024-08-02 10:51:16,2024-08,Outbound to user,Update,Incident,INC23666167,AXA FRANCE ADMIN,Agent_115
CALL0380677,2024-08-02 10:58:44,2024-08,Outbound to Other,Follow-up,Incident,INC23834288,AXA FRANCE ADMIN,Agent_083
CALL0380683,2024-08-02 11:04:37,2024-08,Inbound from User,Update,Incident,INC23842854,AXA FRANCE AEP,Agent_033
CALL0380684,2024-08-02 11:04:38,2024-08,Outbound to user,Follow-up,Incident,INC23838025,AXA FRANCE ADMIN,Agent_044
CALL0380691,2024-08-02 11:13:24,2024-08,Outbound to Support group,Information,Incident,INC23843666,AXA FRANCE ADMIN,Agent_002
CALL0380695,2024-08-02 11:16:19,2024-08,Inbound from User,Follow-up,Incident,INC23843190,AXA FRANCE ADMIN,Agent_129
CALL0380698,2024-08-02 11:21:51,2024-08,Inbound from User,Information,Incident,INC23829287,AXA BANQUE,Agent_104
CALL0380699,2024-08-02 11:25:05,2024-08,Inbound from User,Follow-up,Incident,INC23842036,AXA BANQUE,Agent_129
CALL0380734,2024-08-02 12:02:29,2024-08,Inbound from User,Information,Incident,INC23809220,AXA FRANCE ADMIN,Agent_099
CALL0380742,2024-08-02 12:21:30,2024-08,Outbound to Other,Follow-up,Incident,INC23844447,AXA FRANCE ADMIN,Agent_083
CALL0380746,2024-08-02 12:31:09,2024-08,Outbound to user,Information,Incident,INC23842744,AXA FRANCE ADMIN,Agent_099
CALL0380752,2024-08-02 12:51:54,2024-08,Inbound from User,Update,Incident,INC23819645,AXA FRANCE ADMIN,Agent_051
CALL0380764,2024-08-02 13:38:55,2024-08,Outbound to Support group,Information,Incident,INC23845391,AXA FRANCE ADMIN,Agent_033
CALL0380766,2024-08-02 13:54:13,2024-08,Outbound to Support group,Update,Incident,INC23845430,AXA FRANCE ADMIN,Agent_104
CALL0380776,2024-08-02 14:18:55,2024-08,Outbound to Other,Follow-up,Incident,INC23845391,AXA FRANCE ADMIN,Agent_083
CALL0380779,2024-08-02 14:28:05,2024-08,Outbound to user,Update,Incident,INC23842898,AXA FRANCE ADMIN,Agent_115
CALL0380780,2024-08-02 14:28:29,2024-08,Inbound from User,Information,Incident,INC23838787,AXA FRANCE AEP,Agent_150
CALL0380784,2024-08-02 14:30:54,2024-08,Outbound to user,Update,Incident,INC23843695,AXA FRANCE ADMIN,Agent_115
CALL0380788,2024-08-02 14:36:42,2024-08,Inbound from Other,Update,Incident,INC23602069,AXA FRANCE ADMIN,Agent_141
CALL0380789,2024-08-02 14:40:23,2024-08,Outbound to user,Update,Incident,INC23826937,AXA FRANCE ADMIN,Agent_115
CALL0380804,2024-08-02 14:59:37,2024-08,Inbound from Other,Information,Incident,INC23753392,AXA FRANCE ADMIN,Agent_141
CALL0380808,2024-08-02 15:03:27,2024-08,Inbound from User,Information,Incident,INC23834075,AXA FRANCE ADMIN,Agent_104
CALL0380822,2024-08-02 15:16:19,2024-08,Inbound from User,Follow-up,Incident,INC23494575,AXA FRANCE ADMIN,Agent_075
CALL0380824,2024-08-02 15:18:43,2024-08,Inbound from User,Update,Incident,INC23846009,AXA FRANCE ADMIN,Agent_104
CALL0380826,2024-08-02 15:20:10,2024-08,Inbound from User,Other,Incident,INC23811594,AXA FRANCE ADMIN,Agent_128
CALL0380835,2024-08-02 15:25:28,2024-08,Outbound to Support group,Other,Incident,INC23811594,AXA FRANCE ADMIN,Agent_115
CALL0380838,2024-08-02 15:31:24,2024-08,Inbound from Other,Information,Incident,INC23753944,UGIPS,Agent_141
CALL0380857,2024-08-02 15:43:26,2024-08,Inbound from User,Update,Incident,INC23494575,AXA FRANCE ADMIN,Agent_128
CALL0380869,2024-08-02 15:51:35,2024-08,Inbound from User,Follow-up,Incident,INC23837166,AXA FRANCE ADMIN,Agent_075
CALL0380876,2024-08-02 16:00:12,2024-08,Outbound to user,Information,Incident,INC23818595,AXA FRANCE ADMIN,Agent_104
CALL0380880,2024-08-02 16:02:06,2024-08,Outbound to user,Information,Incident,INC23690225,SOGAREP,Agent_104
CALL0380888,2024-08-02 16:09:10,2024-08,Outbound to Other,Follow-up,Incident,INC23843935,AXA FRANCE ADMIN,Agent_084
CALL0380890,2024-08-02 16:10:00,2024-08,Outbound to user,Update,Incident,INC23730623,AXA FRANCE ADMIN,Agent_128
CALL0380891,2024-08-02 16:11:22,2024-08,Outbound to Support group,Other,Incident,INC23494575,AXA FRANCE ADMIN,Agent_115
CALL0380893,2024-08-02 16:12:10,2024-08,Outbound to Other,Follow-up,Incident,INC23825865,AXA FRANCE ADMIN,Agent_032
CALL0380907,2024-08-02 16:29:12,2024-08,Outbound to user,Update,Incident,INC23826937,AXA FRANCE ADMIN,Agent_115
CALL0380908,2024-08-02 16:34:17,2024-08,Outbound to Support group,Update,Incident,INC23846690,AXA BANQUE,Agent_104
CALL0380917,2024-08-02 16:45:26,2024-08,Inbound from User,Follow-up,Incident,INC23844965,AXA FRANCE ADMIN,Agent_129
CALL0380918,2024-08-02 16:46:03,2024-08,Inbound from Other,Information,Incident,INC23846554,AXA FRANCE ADMIN,Agent_002
CALL0380945,2024-08-02 17:25:00,2024-08,Outbound to Other,Follow-up,Incident,INC23844215,UGIPS,Agent_097
CALL0380980,2024-08-05 08:39:06,2024-08,Outbound to Other,Follow-up,Incident,INC23857357,UGIPS,Agent_097
CALL0380982,2024-08-05 08:49:37,2024-08,Outbound to user,Follow-up,Incident,INC23857709,AXA FRANCE ADMIN,Agent_056
CALL0380984,2024-08-05 08:57:47,2024-08,Outbound to Support group,Follow-up,Incident,INC23808011,AXA FRANCE ADMIN,Agent_079
CALL0381005,2024-08-05 09:26:29,2024-08,Inbound from User,Follow-up,Incident,INC23820742,AXA BANQUE,Agent_129
CALL0381009,2024-08-05 09:29:48,2024-08,Outbound to Support group,Information,Incident,INC23857984,AXA FRANCE ADMIN,Agent_099
CALL0381021,2024-08-05 09:42:03,2024-08,Outbound to Other,Follow-up,Incident,INC23857984,AXA FRANCE ADMIN,Agent_108
CALL0381038,2024-08-05 09:56:22,2024-08,Inbound from User,Follow-up,Incident,INC23846690,AXA BANQUE,Agent_132
CALL0381063,2024-08-05 10:21:12,2024-08,Inbound from User,Follow-up,Incident,INC23857446,AXA FRANCE ADMIN,Agent_075
CALL0381067,2024-08-05 10:27:30,2024-08,Outbound to user,Follow-up,Incident,INC23857625,JURIDICA,Agent_028
CALL0381081,2024-08-05 10:46:11,2024-08,Outbound to Support group,Other,Incident,INC23859254,AXA FRANCE ADMIN,Agent_056
CALL0381090,2024-08-05 10:58:38,2024-08,Inbound from User,Follow-up,Incident,INC23859280,AXA FRANCE ADMIN,Agent_129
CALL0381093,2024-08-05 10:59:04,2024-08,Inbound from User,Update,Incident,INC23858034,AXA Services MOROCCO,Agent_113
CALL0381100,2024-08-05 11:08:09,2024-08,Inbound from User,Information,Incident,INC23858253,AXA FRANCE ADMIN,Agent_150
CALL0381101,2024-08-05 11:08:51,2024-08,Outbound to Other,Follow-up,Incident,INC23845714,AXA FRANCE ADMIN,Agent_083
CALL0381122,2024-08-05 11:29:25,2024-08,Inbound from User,Information,Incident,INC23807551,AXA FRANCE ADMIN,Agent_130
CALL0381133,2024-08-05 11:35:52,2024-08,Inbound from User,Update,Incident,INC23669073,AXA FRANCE ADMIN,Agent_113
CALL0381135,2024-08-05 11:37:24,2024-08,Inbound from User,Update,Incident,INC23669073,AXA FRANCE ADMIN,Agent_113
CALL0381139,2024-08-05 11:43:08,2024-08,Outbound to Support group,Other,Incident,INC23858805,AXA FRANCE ADMIN,Agent_128
CALL0381142,2024-08-05 11:44:19,2024-08,Outbound to Other,Follow-up,Incident,INC23857434,AXA FRANCE ADMIN,Agent_083
CALL0381144,2024-08-05 11:49:12,2024-08,Outbound to Other,Follow-up,Incident,INC23858970,AXA FRANCE ADMIN,Agent_083
CALL0381145,2024-08-05 11:52:06,2024-08,Outbound to user,Information,Incident,INC23859773,AXA FRANCE ADMIN,Agent_003
CALL0381152,2024-08-05 11:58:30,2024-08,Outbound to user,Information,Incident,INC23783621,AXA FRANCE ADMIN,Agent_003
CALL0381154,2024-08-05 12:00:08,2024-08,Outbound to Other,Follow-up,Incident,INC23833637,AXA FRANCE ADMIN,Agent_124
CALL0381163,2024-08-05 12:09:25,2024-08,Outbound to user,Information,Incident,INC23807551,AXA FRANCE ADMIN,Agent_003
CALL0381164,2024-08-05 12:10:06,2024-08,Outbound to user,Update,Incident,INC23787842,AXA FRANCE AEP,Agent_128
CALL0381168,2024-08-05 12:17:07,2024-08,Outbound to Other,Follow-up,Incident,INC23859254,AXA FRANCE ADMIN,Agent_097
CALL0381170,2024-08-05 12:19:46,2024-08,Outbound to Other,Follow-up,Incident,INC23858493,UGIPS,Agent_097
CALL0381179,2024-08-05 12:47:12,2024-08,Outbound to Support group,Information,Incident,INC23860661,JURIDICA,Agent_099
CALL0381185,2024-08-05 13:10:42,2024-08,Inbound from User,Follow-up,Incident,INC23857515,AXA BANQUE,Agent_129
CALL0381189,2024-08-05 13:34:53,2024-08,Outbound to user,Follow-up,Incident,INC23859246,AXA FRANCE ADMIN,Agent_065
CALL0381190,2024-08-05 13:35:21,2024-08,Inbound from User,Follow-up,Incident,INC23858253,AXA FRANCE ADMIN,Agent_056
CALL0381191,2024-08-05 13:38:12,2024-08,Inbound from User,Update,Incident,INC23859773,AXA FRANCE ADMIN,Agent_113
CALL0381198,2024-08-05 13:50:10,2024-08,Inbound from User,Update,Incident,INC23842974,AXA FRANCE ADMIN,Agent_113
CALL0381200,2024-08-05 13:56:34,2024-08,Inbound from User,Follow-up,Incident,INC23858941,AXA BANQUE,Agent_129
CALL0381210,2024-08-05 14:11:54,2024-08,Inbound from User,Follow-up,Incident,INC23829388,AXA FRANCE ADMIN,Agent_129
CALL0381221,2024-08-05 14:21:44,2024-08,Outbound to user,Information,Incident,INC23859773,AXA FRANCE ADMIN,Agent_003
CALL0381223,2024-08-05 14:24:57,2024-08,Inbound from User,Follow-up,Incident,INC23859225,AXA BANQUE,Agent_132
CALL0381233,2024-08-05 14:33:59,2024-08,Outbound to Support group,Information,Incident,INC23861610,AXA FRANCE ADMIN,Agent_009
CALL0381240,2024-08-05 14:37:56,2024-08,Outbound to user,Information,Incident,INC23591558,AXA FRANCE ADMIN,Agent_003
CALL0381241,2024-08-05 14:38:44,2024-08,Inbound from User,Follow-up,Incident,INC23859998,AXA FRANCE ADMIN,Agent_129
CALL0381253,2024-08-05 14:54:37,2024-08,Inbound from User,Information,Incident,INC23829287,AXA BANQUE,Agent_009
CALL0381261,2024-08-05 15:01:02,2024-08,Outbound to Support group,Information,Incident,INC23861984,AXA FRANCE ADMIN,Agent_033
