ticket_id,opened_at,resolved_at,month,contact_type,company,category,subcategory,service,environment,state,incident_state,major_incident_state,closure_code,reopen_count,domain,reassignment_count,assignment_group,first_call_resolution,knowledge_article_used,resolution_time_hours,opened_by,assigned_to,resolved_by,resolved_by_group,creator_group
INC24062261,2024-08-30 15:46:08,2024-08-30 15:58:13,2024-08,Phone,AXA FRANCE ADMIN,Access,Account locked,My Support - VIVASTATION,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP REACTIVATION WAC/RACF,0.2013888888888889,Agent_150,Agent_150,Agent_150,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062239,2024-08-30 15:42:42,2024-08-30 15:54:10,2024-08,Phone,AXA FRANCE ADMIN,Application,Unavailability,My Support - NETIARD,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP APPLICATION METIER CODE ERROR,0.19111111111111112,Agent_113,Agent_113,Agent_113,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062227,2024-08-30 15:41:03,2024-08-30 15:54:31,2024-08,Chat,AXA FRANCE ADMIN,Question / aide,How to,My Support - Teams,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.22444444444444445,Agent_009,Agent_009,Agent_009,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062200,2024-08-30 15:36:45,2024-08-30 16:03:08,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,Login failure,My support - Other Apps,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP  PARAMETRAGE,0.43972222222222224,Agent_120,Agent_120,Agent_120,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062197,2024-08-30 15:36:10,2024-08-30 15:54:51,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My Support - Teams,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.3113888888888889,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062184,2024-08-30 15:34:44,2024-08-30 15:41:09,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My support - Active Directory,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.10694444444444444,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062172,2024-08-30 15:32:30,,2024-08,Phone,AXA FRANCE ADMIN,Network,Connectivity,My Support - Proxy,Production,En attente d'infos utilisateur,En attente d'infos utilisateur,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,PROXY-SUPPORT_L2_ATSGS,False,AFR WP CONNECTIVITY NON PHYSICAL,,Agent_072,Agent_047,,,SD_ADMIN_L1_DSIAF
INC24062151,2024-08-30 15:28:57,2024-08-30 15:39:17,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My support - Active Directory,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.17222222222222222,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062137,2024-08-30 15:26:51,2024-08-30 15:53:44,2024-08,Phone,AXA FRANCE AEP,Question / aide,How to,My support - DNS,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_AEP-MA_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.44805555555555554,Agent_002,,Agent_002,SD_AEP-MA_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062136,2024-08-30 15:26:49,2024-08-30 15:46:12,2024-08,Phone,AXA FRANCE ADMIN,Access,Other,My Support - PassAXA,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[PassAXA/OneAccount] - Procédure - Réinitialisation du mot de passe ,0.32305555555555554,Agent_033,Agent_033,Agent_033,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062133,2024-08-30 15:26:42,2024-08-30 15:36:05,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My support - Laptop,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.15638888888888888,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062010,2024-08-30 15:11:01,2024-08-30 15:44:33,2024-08,Phone,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.5588888888888889,Agent_150,Agent_150,Agent_150,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24062008,2024-08-30 15:10:39,2024-08-30 15:19:01,2024-08,Phone,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.13944444444444445,Agent_075,Agent_075,Agent_075,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061982,2024-08-30 15:07:05,2024-08-30 15:21:33,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My Support - INTRANET,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.2411111111111111,Agent_009,Agent_009,Agent_009,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061932,2024-08-30 15:02:40,2024-08-30 15:10:44,2024-08,Chat,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.13444444444444445,Agent_115,Agent_115,Agent_115,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061907,2024-08-30 15:00:29,2024-08-30 15:12:03,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My support - Laptop,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.19277777777777777,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061876,2024-08-30 14:56:04,,2024-08,Phone,AXA Services MOROCCO,Access,Other,My Support - VDI,Production,Nouveau,Nouveau,,,0,TOP/Golden Copy/SHARED,0,WP_Virtual_Desktop-and-Apps_L3_AGO,False,AFR WP VDI - Incident Overview,,Agent_060,,,,SD_ADMIN_L1_DSIAF
INC24061872,2024-08-30 14:55:30,,2024-08,Phone,AXA FRANCE ADMIN,Question / aide,How to,My Support - Outlook,Production,Nouveau,Nouveau,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L2_DSIAF,False,AFR WP INQUIRY HOW TO,,Agent_113,,,,SD_ADMIN_L1_DSIAF
INC24061839,2024-08-30 14:51:19,2024-08-30 15:01:00,2024-08,Phone,AXA FRANCE ADMIN,Access,Login failure,My support - VPN Win V2,Production,Résolu,Résolu,,Résolu (contournement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[AXA Virtual SmartCard] - Procédure - Solutions pour différents problèmes rencontrés sur VSC,0.1613888888888889,Agent_009,Agent_009,Agent_009,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061757,2024-08-30 14:41:20,2024-08-30 15:02:52,2024-08,Phone,AXA FRANCE ADMIN,Access,Authorization error,My support - Active Directory,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP AD Win Edition - Gestion Account,0.35888888888888887,Agent_051,Agent_051,Agent_051,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061735,2024-08-30 14:38:35,2024-08-30 14:57:07,2024-08,Phone,AXA FRANCE ADMIN,Access,Disabled / Expired,My support - Active Directory,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP AD Win Edition - Gestion Account,0.3088888888888889,Agent_002,Agent_002,Agent_002,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061642,2024-08-30 14:28:58,,2024-08,Chat,AXA FRANCE ADMIN,Application,Code Error,My Support - PackOffice,Production,En cours de traitement,En cours de traitement,,,1,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP PERFORMANCE LENTEUR,,Agent_115,,,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061606,2024-08-30 14:25:39,2024-08-30 14:55:49,2024-08,Phone,AXA FRANCE ADMIN,Access,Login failure,My support - Active Directory,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP AD Win Edition - Gestion Account,0.5027777777777778,Agent_141,Agent_141,Agent_141,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061604,2024-08-30 14:25:18,2024-08-30 14:28:03,2024-08,Phone,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.04583333333333333,Agent_115,Agent_115,Agent_115,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061594,2024-08-30 14:23:57,2024-08-30 14:57:49,2024-08,Phone,AXA FRANCE ADMIN,Access,Other,My support - Active Directory,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP AD Win Edition - Gestion Account,0.5644444444444444,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061571,2024-08-30 14:21:05,2024-08-30 14:50:02,2024-08,Phone,AXA FRANCE ADMIN,Network,Connectivity,My support - windows Hello,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,OSS-TERRASSES_L1_DSIAF,False,AFR WP CONNECTIVITY NON PHYSICAL,0.4825,Agent_113,Agent_083,Agent_083,OSS-TERRASSES_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061546,2024-08-30 14:18:17,2024-08-30 14:34:39,2024-08,Phone,AXA FRANCE ADMIN,Access,Login failure,My support - windows Hello,Production,Résolu,Résolu,,Résolu (contournement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP Windows Hello,0.2727777777777778,Agent_009,Agent_009,Agent_009,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061528,2024-08-30 14:15:00,,2024-08,Phone,AXA FRANCE ADMIN,Mail,Restoration,My support - Laptop,Production,En attente d'infos utilisateur,En attente d'infos utilisateur,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,OSS-BORDEAUX_L1_DSIAF,False,AFR WP RESTAURATION,,Agent_033,Agent_023,,,SD_ADMIN_L1_DSIAF
INC24061524,2024-08-30 14:14:48,2024-08-30 14:27:21,2024-08,Phone,AXA FRANCE AEP,Question / aide,How to,My support - Active Directory,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP INQUIRY HOW TO,0.20916666666666667,Agent_128,Agent_128,Agent_128,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061523,2024-08-30 14:14:41,2024-08-30 14:15:31,2024-08,Phone,AXA FRANCE ADMIN,Flash Call,Other,My support - Call Desk,Production,Résolu,Résolu,,Call Error,0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,[SILVA] - Procédure - Règles d'utilisation des Templates ,0.013888888888888888,Agent_150,Agent_150,Agent_150,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061511,2024-08-30 14:13:31,2024-08-30 14:19:45,2024-08,Phone,AXA FRANCE ADMIN,Access,Access,My support - Active Directory,Production,Résolu,Résolu,,Résolu à distance (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP UNLOCK AD ACCOUNT,0.10388888888888889,Agent_002,Agent_002,Agent_002,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061413,2024-08-30 14:01:37,2024-08-30 14:35:34,2024-08,Phone,AXA FRANCE ADMIN,Application,Unavailability,My Support - SALESFORCE,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP PERFORMANCE LENTEUR,0.5658333333333333,Agent_051,Agent_051,Agent_051,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061412,2024-08-30 14:01:36,2024-08-30 14:19:49,2024-08,Phone,AXA FRANCE ADMIN,Application,Other,My support - Laptop,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR ASSIST FONCTIONNELLE / OUT OF SCOPE,0.3036111111111111,Agent_033,Agent_033,Agent_033,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
INC24061404,2024-08-30 14:00:52,2024-08-30 14:38:13,2024-08,Phone,AXA FRANCE ADMIN,Access,Login failure,My support - windows Hello,Production,Résolu,Résolu,,Résolu (définitivement),0,TOP/Golden Copy/SHARED,0,SD_ADMIN_L1_DSIAF,True,AFR WP Windows Hello,0.6225,Agent_114,Agent_114,Agent_114,SD_ADMIN_L1_DSIAF,SD_ADMIN_L1_DSIAF
